"model","ROC","Sens","Spec","ROCSD","SensSD","SpecSD"
"c50_base.model",0.715590639355608,0.999799542706603,0.11021021021021,0.122233416391553,0.000142849520899092,0.0699597390347229
"c50_base.smote",0.998441717320926,0.99728021978022,0.994915538183995,0.000268896977369232,0.000638034294642503,0.000224426655599709
"c50model_balanced",0.999770104336345,0.997651098901099,0.996665012303486,0.000155330684416138,0.000464297906075701,0.000794702222032431
"c50model_balanced",0.999770104336345,0.997651098901099,0.996665012303486,0.000155330684416138,0.000464297906075701,0.000794702222032431
"knn",0.997940844470094,0.993186813186813,0.961483645454278,0.000234648037392999,0.000552447185499729,0.0035572617199021
"Random Forest",0.984848673332103,0.989917582417582,0.958804780138197,0.00182493754190194,0.00028067055963877,0.00233078660800354
"GBM",0.999864980987871,0.997637362637363,0.99628232312941,0.000105523391854746,0.000215006536298056,0.000532894364923478
